id,text,nested,type,module,complexity
1,"A student shall be able to search study rooms with available seats by campus, date, and time range.",False,Functional,Search & Discovery,Conditional
2,"When the student is authenticated, the system shall allow reserving one or more seats in a study room for a chosen time slot.",True,Functional,Other,Conditional
3,"If the selected study room has insufficient available seats for the requested time slot, the system shall reject the reservation and suggest the nearest available slots.",True,Functional,Search & Discovery,Conditional
4,"A reservation shall include the room identifier, date, start time, end time, and the number of seats requested.",False,Functional,Booking Core,Simple
5,The system shall prevent a student from booking more than 2 active reservations per day and more than 6 per week.,False,Functional,Booking Core,Simple
6,"If the student already has an active booking for the same time range, the system shall block creating another booking for that time range.",True,Functional,Booking Core,Conditional
7,"A student shall be able to cancel a booking up to 30 minutes before the start time; otherwise, the system shall mark it as late-cancel.",True,Functional,Check-in & Penalties,Nested/Conditional
8,"If a reservation is canceled, the system shall immediately release the reserved seats and notify students on the waitlist, if any.",True,Functional,Waitlist,Conditional
9,A student shall be able to join a waitlist for a fully booked room on a specific date.,False,Functional,Waitlist,Simple
10,"When a room becomes available, the system shall offer the slot to the first student on the waitlist and give 10 minutes to confirm.",True,Functional,Waitlist,Conditional
11,"If the student does not confirm within 10 minutes, the system shall offer the slot to the next student on the waitlist.",True,Functional,Waitlist,Nested/Conditional
12,The system shall send a booking confirmation via email and in-app notification within 1 minute after a successful reservation.,False,Non-functional,Notifications,Conditional
13,A student shall be able to check in for a seat reservation starting 10 minutes before the start time until 15 minutes after the start time.,False,Functional,Check-in & Penalties,Simple
14,"If no check-in occurs by 15 minutes after the start time, the system shall automatically cancel the booking and record a no-show.",True,Functional,Check-in & Penalties,Nested/Conditional
15,"If a no-show is recorded three times within 30 days, the system shall suspend the student's booking privileges for 7 days.",True,Functional,Check-in & Penalties,Nested/Conditional
16,"The system shall display room capacity, equipment (e.g., whiteboard, projector), and accessibility features before booking.",False,Functional,Booking Core,Simple
17,A student shall be able to filter rooms by minimum capacity and required equipment.,False,Functional,Search & Discovery,Conditional
18,"If the number of seats requested exceeds the remaining available seats, the system shall prevent the reservation and explain the capacity constraint.",True,Functional,Search & Discovery,Conditional
19,A student shall be able to modify an existing reservation only if the new time slot satisfies booking limits and does not overlap the student's other reservations.,True,Functional,Booking Core,Conditional
20,"The system shall log all booking creations, modifications, cancellations, and no-show events with timestamp and user ID.",False,Non-functional,Check-in & Penalties,Simple
21,"Administrative staff shall be able to create rooms and define their campus, opening hours, and maximum reservation length.",False,Functional,Admin & Reporting,Simple
22,The system shall enforce that no reservation can exceed the maximum reservation length defined for that room.,False,Functional,Booking Core,Simple
23,"If a student attempts to book outside the room opening hours, the system shall reject the request and show valid hours.",True,Functional,Booking Core,Conditional
24,"The system shall allow staff to block a room for maintenance; during maintenance, the room shall not appear as available.",False,Functional,Admin & Maintenance,Simple
25,"If a maintenance block overlaps existing bookings, the system shall notify affected students and offer alternative rooms of similar capacity.",True,Functional,Waitlist,Nested/Conditional
26,The system shall support group bookings where a student invites other students; invited students shall receive an invite and can accept or decline.,False,Functional,Group Booking,Simple
27,"If fewer than 50% of invited students accept by 2 hours before the start time, the system shall prompt the organizer to confirm or cancel.",True,Functional,Group Booking,Nested/Conditional
28,The system shall allow the organizer to remove an invited student before the booking start time and notify the removed student.,False,Functional,Group Booking,Simple
29,The system shall provide a calendar view of a student's upcoming bookings and allow exporting as iCalendar (.ics).,False,Functional,Booking Core,Simple
30,The system shall support single sign-on using the university identity provider; unauthenticated users shall have read-only access to availability.,False,Non-functional,Security & Identity,Simple
31,"The system shall store personal data (name, email, student ID) encrypted at rest and transmit it over TLS.",False,Non-functional,Notifications,Simple
32,"A student shall be able to report a room issue (e.g., broken equipment); the system shall create a ticket and notify staff.",False,Functional,Admin & Reporting,Simple
33,"If a room issue is marked as critical by staff, the system shall automatically block the room until the issue is resolved.",True,Functional,Admin & Reporting,Nested/Conditional
34,The system shall display a fair-use policy and require explicit acceptance before the first booking.,False,Functional,Booking Core,Simple
35,"If the student violates the fair-use policy (e.g., repeated no-shows), the system shall warn the student and escalate penalties on repeat.",True,Functional,Check-in & Penalties,Conditional
36,The system shall provide administrative reports showing utilization rate per room and peak booking hours for the last 30 days.,False,Functional,Admin & Reporting,Simple
37,"For any search query, the system shall return results within 2 seconds for 95% of requests under normal load.",False,Non-functional,Search & Discovery,Conditional
38,"If the notification service is unavailable, the system shall queue notifications and retry for up to 24 hours without losing booking data.",True,Non-functional,Notifications,Nested/Conditional
39,"The system shall support English and Italian UI languages, and the user shall be able to switch language in settings.",False,Non-functional,Other,Simple
40,"If two reservation requests for the same room and time slot arrive concurrently and the remaining seats are insufficient, the system shall allocate seats atomically so that capacity is never exceeded and the losing request receives a conflict error.",True,Non-functional,Concurrency,Nested/Conditional
